programme,mlcourse,ircourse,statcourse,dbcourse,gender,chatGPT,birthday,studentestimate,stand,stress,sporthours,random,bedtime,goodday1,goodday2
computer science,yes,no,mu,nee,not willing to answer,yes,4,400,unknown,88.0,5,114514.0,04:00,Good weather,Good sleep
artificial intelligence,yes,yes,mu,ja,male,no,16/09/1998,200,no,25.0,8,69.0,24:00,Big Booty Latinas,Cats
computer science,yes,no,mu,ja,female,yes,21-08,220,yes,60.0,6,21.0,00:00,Nice food ,Spending nice time with others 
artificial intelligence,yes,no,mu,ja,male,yes,18-12-1998,300,no,80.0,2,197307.0,02:00,coffee,Good sleep
business analytics,yes,no,mu,nee,female,yes,08-03-2002,300,no,10.0,5,3572589.0,23:00,Sunshine,Meeting friends
finiancial technology,yes,no,sigma,ja,male,yes,04/02/1995,200,no,95.0,5,3.14,03:40,Coffee,More coffee
artificial intelligence,yes,yes,mu,ja,female,yes,7 January ,200,no,35.0,4,36.0,22:30,Food,Food
artificial intelligence,yes,yes,mu,ja,female,yes,10 November 1998,200,no,24.0,4,67.0,01:00,Good food,Nice weather
computational science,yes,yes,sigma,ja,male,yes,16/09/1996,240,no,12.0,2,96.0,02:00,Low stress but productive,Not too many complications
computational science,no,no,mu,nee,female,yes,0709,200,no,60.0,6,33.0,24:30,Relax,Routine
bioinformatics and systems biology,yes,no,unknown,nee,female,yes,7-03-2000,280,no,1.0,0,7.0,02:00,When I feel energetic ,When I am with friends and family
computational science,yes,yes,mu,ja,male,no,24,240,no,5.0,2,88754.0,24:00,Tea,Lunch
artificial intelligence,yes,yes,sigma,ja,male,yes,6/9/69,0,no,8.0,4,0.0,01:00,sun,good food
artificial intelligence,yes,no,mu,nee,not willing to answer,yes,1995,200,no,42.24220338983051,0,60.0,01:00,Tea,Loving ones
unknown,no,no,mu,unknown,not willing to answer,no,Nov 28,300,no,20.0,0,19375931694.0,04:15,Guinea pigs,Baldur's gate 3
artificial intelligence,yes,no,mu,ja,male,yes,17-10-2001,0,no,20.0,4,29.0,02:00,Eating good food,Spending time with good people
artificial intelligence,yes,yes,unknown,ja,male,yes,27-08-2002,240,no,15.0,14,8.0,22:00,No assignments due in the next 3 days ,Playing games with my friends 
bioinformatics and systems biology,yes,no,mu,unknown,female,no,17-03-2001,240,no,78.0,8,28.0,23:30,Doing something fun,Going outside
computer science,yes,yes,mu,nee,female,yes,5-1-1998,100,no,90.0,10,40.0,21:00,When i do not have assignments,When I passed all the modules
computational finance,no,no,sigma,nee,female,not willing to say,10,200,unknown,80.0,1,70.0,24:00,Food,Sleep
computational science,yes,no,mu,nee,female,yes,13-march,160,no,75.0,0,13.0,03:40,good rest,sunshine
computer science,yes,no,mu,ja,male,yes,01-04-1996,360,no,90.0,6,373.0,02:05,Seks,Getting my work done
artificial intelligence,yes,no,mu,ja,female,yes,29/05/1999,120,no,1.0,1,3.0,24:00,enough time for a proper breakfast,exercise
artificial intelligence,yes,yes,unknown,nee,female,yes,09-09-1998,260,no,34.0,4,99.0,23:30,Being with friends,Sunshine
computer science,yes,no,mu,nee,male,no,05.03.1999,300,no,60.0,1,5787573.0,01:00,A good breakfast,Time with my friends 
bioinformatics and systems biology,yes,no,mu,ja,female,not willing to say,18-11-2002,220,no,57.0,0,73.0,03:00,You,Me
artificial intelligence,yes,no,mu,ja,not willing to answer,yes,bruh,160,no,80.0,6,2137.0,01:30,Cafeteria pizza,Sun
bioinformatics and systems biology,yes,no,unknown,unknown,female,yes,23 July 2001,300,yes,30.0,0,12.0,24:00,sunny!,no deadline!
artificial intelligence,yes,yes,mu,unknown,male,yes,18-01-2024,240,no,67.0,0,576.0,24:10,Staying at home,Finishing homework
bioinformatics and systems biology,yes,no,mu,nee,male,yes,01102000,160,unknown,20.0,10,66.0,23:30,Good meals,Easy task
computer science,yes,yes,mu,ja,male,yes,19-01-2001,240,no,10.0,2,69420.0,00:00,sun,a good day of work
quantitative risk management,no,no,mu,ja,non-binary,yes,22-2-1998,180,no,42.24220338983051,15,22.0,01:20,Peace ,Efficiency 
artificial intelligence,no,yes,mu,ja,female,yes,05-08,240,no,15.0,1,48.0,01:15,Enough sleep,Flowstate
artificial intelligence,yes,no,sigma,ja,male,yes,05-03-2001,200,no,20.0,6,49.0,01:30,Good dinner ,Lot of free time
artificial intelligence,yes,no,mu,nee,not willing to answer,yes,01-01-1998,240,no,15.0,1,13.0,23:00,Coffee,Sex
human language technology,yes,unknown,unknown,ja,male,yes,09.02,140,yes,44.0,3,999.0,01:30,Good coffee,No rain
computational science,no,no,mu,nee,male,no,25 May,220,no,40.0,0,7.0,24:30,A day of productive work,A day of peace and leisure
bioinformatics and systems biology,yes,no,mu,ja,female,not willing to say,05-11-2002,300,unknown,60.0,0,1999.0,01:00,Me,You
big data,yes,yes,mu,ja,female,yes,15/09/2000,200,no,45.0,0,55.0,24:00,Sunshine ,Food 
artificial intelligence,yes,no,mu,ja,male,yes,"Oct 18, 1998",220,no,1.0,5,9.0,03:30,"Friends, Family",Food
finiancial technology,yes,no,unknown,nee,female,yes,3-5-2000,360,no,90.0,4,31.0,02:45,Good company,Good food 
business analytics,yes,unknown,mu,nee,female,yes,04-06-1999,300,no,50.0,5,1.0,23:00,Sunshine ,Terrace 
artificial intelligence,no,no,mu,nee,female,yes,03/10/2001,100,no,70.0,5,8.0,23:00,sun ,dogs 
artificial intelligence,yes,yes,mu,ja,male,no,6/8/2002,320,no,80.0,0,9.0,23:30,Listening to music ,Sunny days 
computer science,yes,yes,sigma,ja,male,not willing to say,19/02/2000,440,no,7.0,2,9291.0,00:00,Productive,Joyful
computer science,yes,unknown,unknown,ja,male,yes,13/05/2000,300,no,78.0,10,9.0,03:00,Waking up to a man,The man cooks
computer science,yes,no,mu,ja,male,yes,27.09.1999,200,no,9.0,0,69.0,02:23,Nice food,Time with friends 
big data engineering,yes,unknown,mu,ja,male,not willing to say,"July 07th, 2001",0,no,50.0,6,37.0,06:00,Productivity,Physical and mental activity
bioinformatics and systems biology,yes,no,sigma,nee,male,yes,06/10/1998,240,no,42.0,8,3.0,01:00,Good food,Friends
business analytics,yes,no,mu,nee,male,yes,12/10/1997,240,no,80.0,6,7.0,03:00,Free day ,Good company 
artificial intelligence,no,no,mu,ja,non-binary,yes,2000-02-24,240,no,100.0,0,3.0,04:00,Sunshine,Reading a book
unknown,yes,no,mu,ja,female,yes,2/5,100,no,70.0,2,99.0,01:00,Sun,Text
computer science,no,no,mu,ja,female,yes,11.05.2001,300,no,35.0,5,63.0,00:20,A nice-looking breakfast,Sunny weather
computer science,yes,yes,mu,ja,male,not willing to say,30/2/1999,380,no,100.0,0,69.0,22:00,Doing sport,Beer
business analytics,yes,yes,mu,nee,male,yes,24-03-97,300,no,25.0,5,4.0,02:00,Being productive,Spend time with loved ones and have good food
artificial intelligence,yes,no,mu,ja,male,yes,12/10/1999,240,no,42.24220338983051,8,69.0,01:50,Bj,Coffee 
computational science,yes,no,mu,ja,male,not willing to say,11 12 1994,240,no,20.0,5,42.0,00:30,Doing something rewarding and productive,Being with friends or girlfriend
computer science,yes,no,mu,ja,male,yes,11.22,200,no,75.0,10,66.0,23:00,Good sleep ,Flowers 
artificial intelligence,yes,no,sigma,nee,female,yes,15-12-2001,280,no,10.0,5,6291.0,01:30,When it is sunny,When I do fun activities with friends
big data engineering,no,no,sigma,nee,female,no,10/10/1999,300,no,80.0,5,19.0,05:00,Good food,Good friend
bioinformatics and systems biology,yes,yes,unknown,ja,female,yes,30-04-2002,260,no,0.0,0,7.0,03:00,Baking cake,Eating cake
computer science,yes,no,mu,ja,male,not willing to say,02-05,200,no,30.0,2,42.0,00:00,food,high score
computer science,yes,no,sigma,ja,male,yes,Cucumber,0,unknown,101.0,50,0.0,00:00,D,No d
quantitative risk management,yes,unknown,sigma,ja,female,yes,2000-01-01,300,no,10.0,1,537920.0,02:00,Being with friends,Having good food
artificial intelligence,yes,yes,mu,ja,female,yes,30-09-2001,240,no,25.0,0,24.0,23:00,No stress,No deadlines
artificial intelligence,yes,yes,unknown,ja,female,yes,02-11-2000,300,no,30.0,4,2000.0,22:00,Make someone happy,Doing sports and laugh with friends
artificial intelligence,yes,yes,mu,ja,male,yes,30-09-1999,0,unknown,1.0,6,26.0,01:00,Morning coffee and a cigarette,Protein shake after workout
big data engineering,yes,yes,mu,ja,male,no,19-02-1998,240,no,20.0,9,199978405.0,00:30,Food,Sports
business analytics,yes,yes,mu,ja,male,no,04-02,200,no,15.0,2,13.0,23:30,Nice weather,No stress
computational science,no,no,mu,nee,male,no,13-08-2000,200,no,23.0,7,13.0,00:45,Interacting with friends,Achieving a goal set for that day
artificial intelligence,yes,no,unknown,ja,male,yes,October 12th 1999,360,no,30.0,2,55.0,01:00,Drinking beer,When the sun shines a lot
artificial intelligence,yes,no,mu,ja,male,yes,18-10-2001,200,no,60.0,8,8.0,03:00,Amount of work done,Amount of time having fun
political data journalism,yes,no,mu,nee,non-binary,yes,01.05.1998,220,no,40.0,7,53.0,00:30,Great food,Interaction with some of the wholesome people in my life 
bioinformatics and systems biology,yes,no,mu,ja,male,not willing to say,16/09/1998,240,no,25.0,4,7.0,00:30,Be productive,Eat healty
computational science,no,no,sigma,nee,female,yes,11-01-2000,300,no,30.0,6,187.0,24:00,Good food,Getting work done
business analytics,yes,no,mu,ja,male,yes,05/03/2001,300,no,30.0,4,34.0,23:30,No train delays,No school or work obligations 
artificial intelligence,yes,no,mu,nee,other,yes,21/2/1999,100,no,88.0,7,69.0,00:00,Free time,Sun
artificial intelligence,yes,no,mu,ja,male,yes,13.03.2000,160,no,20.0,2,117.0,02:00,Spaghetti ,I forgor💀
computational science,no,yes,mu,ja,female,no,21.04.,280,no,20.0,5,82018.0,21:30,Meeting friends,Sunshine
artificial intelligence,yes,no,mu,nee,female,yes,19/07/199,200,no,30.0,2,17.0,23:00,The sun,Day out with friends
artificial intelligence,yes,yes,mu,ja,male,not willing to say,11/04/2000,0,no,2.0,5,1.0836474839263565e+37,02:00,Weed,Friends
artificial intelligence,no,no,mu,nee,male,yes,01041997,300,no,80.0,8,99.0,02:00,No task,Having fun with friends or families 
artificial intelligence,yes,no,mu,ja,male,yes,22-12-2000,240,yes,1.0,8,2543892.0,23:00,Nice weather,Friends
artificial intelligence,yes,no,mu,ja,male,yes,05.07.2000,160,no,90.0,2,184.0,04:00,Finish a demanding but interesting assignment,Impress work colleagues at work
computational science,yes,no,mu,ja,female,yes,15-11-1999,340,no,0.0,4,-42.0,23:30,Google form quizzes,good food
artificial intelligence,yes,no,mu,ja,female,yes,13/12/1996,300,no,50.0,3,13.0,02:00,herbal tea,a sense of accomplishment
computational science,no,no,mu,nee,non-binary,yes,15,200,no,90.0,5,4.0,06:00,Hanging out with friends,Staying at home killing time without assignments
artificial intelligence,no,no,mu,nee,male,not willing to say,03-01-1998,320,no,60.0,3,9.0,22:55,Being with people I love,Spending time on my priorities
unknown,no,no,mu,ja,male,yes,Feb 12 1999,300,no,88.0,4,74.0,24:00,No assignments ,No lecture
artificial intelligence,no,yes,mu,ja,not willing to answer,no,09.01.1998,360,no,5.0,18,6.39959299895993e+42,01:55,Pancakes,Excercise
computer science,no,no,unknown,nee,female,yes,11.06.1998,500,no,40.0,0,1636287.0,00:30,Feeling the sun on my skin while outside,being rly cozy in my bed watching a show/reading
artificial intelligence,yes,yes,mu,ja,male,not willing to say,14-03-1955,200,no,20.0,6,17389276163.0,00:22,Beers on the terrace ,The sun is shining
artificial intelligence,no,no,mu,nee,male,yes,23/12/1997,0,no,30.0,1,1234567890.0,02:00,Nice weather ,Relaxing with my friends 
artificial intelligence,yes,yes,mu,ja,female,yes,24-07-2000,140,yes,30.0,0,7.0,02:00,Nice weather,Good food
critical language scholarship,no,no,mu,nee,female,yes,08/09,180,yes,68.0,5,9.0,01:00,Eating a great meal ,Petting animals
computational science,yes,yes,mu,ja,female,not willing to say,09052001,100,unknown,100.0,8,68.0,00:00,dessert,good weather
econometrics and data science,yes,yes,mu,ja,female,not willing to say,01-12-2000,300,no,5.0,10,6.0,00:00,Seeing friends/family,Football
unknown,yes,no,mu,nee,male,not willing to say,30.08,240,yes,60.0,3,97.0,01:00,great weather ,meet friends
econometrics and data science,yes,unknown,mu,nee,male,yes,27 October ,400,no,10.0,4,917382918.0,02:00,Being with friends,Being with girlfriend
artificial intelligence,yes,no,mu,ja,male,yes,31/07/2001,600,no,20.0,10,24.0,02:30,Sunny,Being together with crush
artificial intelligence,yes,no,unknown,ja,male,yes,17/04/2001,120,no,25.0,5,3.0,01:00,Sun,Being outside
artificial intelligence,yes,no,mu,ja,male,yes,06.11.1895,300,no,15.0,6,7.362826282728197e+22,23:45,Nice weather,No rain
artificial intelligence,yes,no,mu,ja,gender fluid,not willing to say,16.06.1998,120,yes,100.0,8,5.4267109543271025e+29,23:55,Weed,Beer
econometrics and data science,yes,yes,mu,ja,male,not willing to say,13 november 1996,500,no,50.0,4,37.0,14:00,Money,Sunshine
artificial intelligence,no,no,mu,nee,female,yes,08/06/1997,280,yes,80.0,2,942.0,01:00,Good friends,Feeling safe
artificial intelligence,yes,no,mu,nee,male,yes,23/03/1999,240,no,10.0,6,0.0,02:00,No lectures ,Lectures 
artificial intelligence,no,no,mu,ja,female,yes,30052000,400,yes,20.0,2,627.0,24:40,gelato,good weather
bioinformatics and systems biology,yes,unknown,sigma,nee,male,yes,22nd of july,180,no,50.0,2,8.0,03:00,Full belly,Slept well
artificial intelligence,yes,no,mu,ja,female,yes,March 7,300,no,55.0,2,78.0,06:30,Family,Friends
computational science,yes,no,mu,unknown,male,yes,2001.7.24,400,no,99.0,5,0.0,24:00,dog,food
artificial intelligence,yes,yes,mu,ja,gender fluid,not willing to say,over 9000,0,no,42.24220338983051,0,9000.0,07:00,my fiance,my pet frog
econometrics and data science,yes,unknown,mu,ja,male,yes,03-05-1997,360,no,50.0,6,999.0,02:00,Having good sleep,No problems in private life
artificial intelligence,yes,yes,mu,ja,female,yes,26/03/2000,460,no,0.0,6,4.0,22:30,Spending time with some of my favorite people,Working out
artificial intelligence,yes,no,mu,ja,male,yes,10/11/2000,200,no,30.0,1,2.0,02:00,Friends,Accomplish something
computer science,yes,yes,mu,ja,male,yes,20-01-2001,360,no,65.0,8,8964.0,01:00,Get things done,Meet friends 
computer science,yes,no,mu,ja,male,not willing to say,25/03/00,240,unknown,110.0,5,7.0,02:00,Not having to do anything involving my laptop,Lorem ipsum
computer science,no,no,unknown,nee,male,not willing to say,29 May 1998,180,no,80.0,0,169.0,01:30,Sleeping in late,Playing Red Dead Redemption 2 on my laptop
artificial intelligence,yes,yes,mu,ja,male,yes,28-03,300,no,0.0,12,5091.0,02:26,I did my tasks,I enjoyed myself
business analytics,yes,yes,mu,ja,male,yes,25/06/2002,240,no,34.0,7,8648.0,00:30,Played sports,Talked to friends
human language technology,yes,unknown,unknown,unknown,female,not willing to say,1987,220,no,75.98,2,10642790.0,00:00,Chatting with my family ,Away from stress
artificial intelligence,yes,no,mu,nee,male,no,19-06-1998,300,no,20.0,6,26.0,02:00,Meeting friends,Getting to do things I’m interested in
ai for health,no,no,mu,ja,male,yes,25-03-1997,100,no,-1.0,8,13.0,24:00,waking up refreshed ,no work obligations 
econometrics and data science,yes,yes,mu,ja,female,yes,31-07-1998,240,no,2.0,3,74.0,23:00,Laughter,Having friendly interactions
big data,yes,yes,mu,ja,male,yes,5,160,no,100.0,1,420.0,22:00,When I find a good housing ,Playing sports
business analytics,yes,yes,mu,ja,male,yes,29/05/2000,180,no,10.0,10,1903.0,23:30,Sports,Relaxing
bioinformatics and systems biology,yes,no,sigma,nee,female,yes,16.4,300,no,30.0,5,47.0,03:00,Good sleep,No work
artificial intelligence,yes,no,mu,nee,non-binary,yes,16-07-1998,300,no,80.0,8,72.0,01:00,Keep happy with my girlfriend,Sleep well
computational science,yes,no,mu,ja,male,yes,21-11-2001,280,no,30.0,4,7487964.0,23:00,Bouldering,Haskell
computer science,no,no,sigma,nee,not willing to answer,not willing to say,02/10/1993,300,no,77.0,2,0.0,02:00,Earning a 10 on this course,Earning $10000 a day from the stock market
bioinformatics and systems biology,yes,no,mu,ja,female,yes,30-08,200,no,75.0,4,8.0,22:00,Seeing a golden retriever,Having fun with friends
unknown,yes,no,sigma,nee,male,yes,12/31/1616,500,no,101.0,0,7.431347801342784e+19,22:00,Nothing,Nothing
bachelor of arts,yes,yes,mu,ja,male,yes,01-05-2001,300,no,40.0,10,7.0,23:30,Good sleep,Relaxing
computational science,yes,no,mu,ja,male,yes,4/20/1969,500,no,69.0,8,80085.0,04:00,Sex,Sex
artificial intelligence,yes,yes,mu,ja,gender fluid,no,03/04,300,no,20.0,2,43.0,01:00,no class,seeing friends
computer science,no,no,unknown,nee,male,yes,25/08/2000,300,no,99.0,5,7.0,03:00,Task completed,Unexpected income
business analytics,yes,yes,mu,ja,male,yes,28-06-2000,360,no,42.24220338983051,4,69.0,23:30,A kiss,Sun shining
artificial intelligence,yes,yes,mu,ja,female,not willing to say,11,300,no,70.0,12,7.0,00:00,food,climbing a 6b+
computational science,no,no,mu,ja,male,not willing to say,121198,300,no,20.0,15,28.0,01:00,"with friends, enjoy the day",have time to go to the gym
artificial intelligence,yes,yes,unknown,ja,male,yes,07-02-1996,200,no,70.0,3,37.0,24:00,When I accomplished something that I care about,Having laughs with friends or family
computational science,no,no,mu,ja,male,yes,13 July 2001,360,no,60.0,10,7.0,23:00,Being with my friends ,Going to the gym 
bioinformatics and systems biology,yes,yes,mu,nee,female,yes,29-11-1998,240,no,20.0,4,4.0,01:00,Sleep in,Chill
computer science,yes,yes,mu,ja,gender fluid,not willing to say,0327,200,no,20.0,3,78.0,22:00,Nice Eating,Good Rest
computer science,yes,no,mu,ja,male,yes,1 april,200,no,0.0,3,0.0,03:00,food,food
computational science,yes,no,mu,nee,female,yes,12/09/1999,200,no,0.0,10,27.0,00:45,Good food,Working out
unknown,no,no,mu,nee,not willing to answer,not willing to say,05.FEB.2001,120,yes,20.0,8,719.0,03:00,Making progress compared to yesterday,To work out
artificial intelligence,yes,yes,mu,ja,male,yes,29th August 1999,300,no,33.0,6,4.0,03:30,wake up early,some form of exercise
computational science,yes,no,mu,nee,male,yes,27-11-1992,300,no,25.0,7,0.0,01:00,"Food, sun, friends, wine, learning new things",Mandatory office days 
artificial intelligence,yes,no,mu,ja,female,yes,10-08-2002,240,no,40.0,5,13579.0,00:30,Sunny ,exercise 
computational science,yes,yes,unknown,ja,female,yes,15/11/1993,220,no,60.0,1,7.0,23:00,Talk to friends and family,To have laughed during the day
unknown,yes,no,mu,nee,male,yes,08,200,no,65.0,7,46.0,01:00,Positivity,Good sleep
artificial intelligence,yes,no,mu,nee,gender fluid,yes,10-11-1996,160,no,20.0,6,75890.0,01:00,Good sex,Dancing at a party
artificial intelligence,yes,yes,mu,ja,female,yes,02-06-1999,160,no,80.0,2,7.0,00:30,If the weather is warm,No delays in public transport 
computational science,yes,yes,mu,ja,female,yes,06-11-2000,360,no,30.0,8,18.0,23:30,Nice weather,Being with friends and family
computational science,no,no,mu,nee,female,not willing to say,0710,400,no,10.0,6,17.0,03:00,good food,keep winning hearthstone battleground
artificial intelligence,yes,unknown,mu,ja,female,yes,03-03-1998,240,no,35.5,1,67.0,01:00,Having nothing to worry about ,Doing the things that I like 
finiancial technology,yes,no,mu,ja,male,yes,20.11.1897,200,no,10.0,10,-2.0,23:00,Good sleep,No university
computer science,yes,no,mu,ja,male,yes,11/20,160,yes,70.0,5,69.0,00:00,kiss,shopping
computational science,yes,no,mu,nee,male,yes,Jan 12,120,no,40.0,7,-2.0,01:20,Love,Music
unknown,yes,unknown,mu,nee,male,not willing to say,29-05-200,200,no,30.0,8,3.14,23:07,Social activity ,Sports 
computational science,yes,no,mu,nee,female,yes,12-10-2001,200,no,60.0,5,865.0,24:15,good food ,no school 
artificial intelligence,yes,no,mu,ja,male,yes,26/08/1988,220,no,77.0,0,29.0,07:00,Study,Organized 
business analytics,yes,yes,mu,ja,female,yes,25-07-2002,240,no,0.0,9,74364789532.0,23:00,Sunshine,Friends 
unknown,yes,yes,sigma,ja,male,yes,14,80,no,5.0,10,8.0,22:30,Date with a girl,Binge watching a TV show
econometrics and data science,no,no,mu,nee,male,yes,13/06/2000,360,no,10.0,15,13.0,23:04,"Good sleep, Rowing and being productive","Good sleep, chillings and eating good"
artificial intelligence,yes,no,mu,ja,female,yes,05-04-2000,300,no,70.0,2,6.0,01:28,sleep 8h,went to gym
bioinformatics and systems biology,yes,unknown,mu,ja,male,yes,16-11-1999,200,no,100.0,3,420.0,01:00,Beer,Beer
business analytics,yes,no,mu,nee,female,yes,"May 4, 2000",220,no,65.0,0,200000007.0,01:43,Work during the day and see my friends in the evening,"Going outside, eating good food, getting some work done, seeing people I know, drinking"
artificial intelligence,yes,yes,mu,ja,male,yes,02-10-2000,440,no,30.0,6,2564803.0,02:00,If I can decide for myself what I want to do during the day,If I have a fun social activity in the evening
unknown,yes,no,mu,nee,male,yes,07/10/1997,300,no,52.0,10,752169420587.0,00:50,Low stress,Sunny weather
computer science,yes,yes,mu,ja,male,no,1-1-2002,300,no,20.0,2,582819464919263.0,00:00,-,-
computer science,yes,yes,mu,ja,female,not willing to say,21-06,240,no,75.0,3,21.0,00:30,Good sleep,Delicious food 
bioinformatics and systems biology,yes,no,unknown,nee,male,yes,2001 03 29,200,no,42.24220338983051,5,29.0,03:00,good weather,good grades
public administration,no,no,unknown,nee,female,yes,18-01-2001,200,no,70.0,5,8.0,01:30,Nice food,Nice weather
artificial intelligence,yes,yes,mu,ja,female,not willing to say,29-07-2002,300,no,20.0,5,77.0,23:00,Sun,Dinner with friends
bioinformatics and systems biology,yes,no,mu,nee,non-binary,yes,why do you need to know,0,no,105.0,57,42.0,06:00,alex going to brussels on my birthday,fun lectures at 9am
business analytics,yes,yes,sigma,ja,male,yes,28-11-1997,440,no,0.0,6,21.0,23:30,Weed,Sun
bioinformatics and systems biology,yes,no,mu,ja,gender fluid,yes,17/3/1995,120,no,87.0,0,563912.0,02:30,Alcohol,Seeing friends
bioinformatics and systems biology,yes,yes,unknown,ja,female,no,24-01-1998,340,no,45.0,4,1789.0,02:00,Time with friends ,Enough time for relaxation
computer science,yes,unknown,unknown,ja,female,not willing to say,2000.8.10,200,unknown,80.0,1,810.0,02:00,No assignment,No presentation
computational science,yes,no,mu,nee,not willing to answer,yes,2000/04/15,300,no,1.0,2,7777777777.0,03:00,perfect sleep,delicious food
artificial intelligence,yes,no,mu,nee,male,yes,10-08-2000,320,no,15.0,9,1309.0,23:00,Sports,Food
artificial intelligence,yes,no,mu,nee,male,yes,10/11,300,no,30.0,4,73.0,01:00,Finish all the things need to be done ,Cooking a delicious meal 
artificial intelligence,yes,no,sigma,nee,male,yes,2000,200,no,42.24220338983051,632,1.0,15:00,Peepee,Poopoo
econometrics and data science,no,no,mu,nee,female,yes,18-10-2000,240,no,0.0,3,144.0,23:30,Good weather,Being with my friends and/or family
artificial intelligence,yes,yes,mu,ja,male,yes,14-9-1419,180,no,10.0,8,61.0,04:00,Praying,Gratitude
artificial intelligence,yes,yes,mu,ja,male,no,02/11,260,no,42.69,8,3.0,00:35,Sunny weather,Lots of free time
computer science,yes,yes,mu,ja,male,no,07-06-1998,280,no,10.0,6,69.0,02:30,No obligations,Seeing friends
artificial intelligence,yes,yes,unknown,ja,male,yes,16-04-1999,0,no,22.5,3,0.0,01:00,"Good weather, for example when the sun is shining at about 25 degrees celcius",Cozy movie watching on a rainy day
public administration,no,no,unknown,ja,male,yes,15-04-2001,300,no,60.0,5,7.0,23:30,Sunny weather,Spending time with friends
unknown,yes,yes,mu,ja,male,yes,14/09/1997,240,no,60.0,3,314.0,02:00,A p-value << 0.05,Winning the lottery
bioinformatics and systems biology,yes,no,sigma,nee,female,yes,12-05,300,no,80.0,0,7.0,04:00,no assignment,sunny day
computer science,yes,no,mu,ja,male,yes,23 August 2002,200,no,0.0,7,617848429.0,04:00,Talking to my girlfriend,Eating authentic indian food
business analytics,yes,no,mu,ja,female,yes,01-05-2001,200,no,20.0,2,78.0,00:30,Joy,Fun
business analytics,yes,yes,mu,ja,male,yes,15-11-1999,240,no,15.0,10,9005.0,22:30,Sun,Smilling People
bioinformatics and systems biology,yes,yes,mu,nee,female,yes,4.20,200,no,99.0,5,636.0,03:00,Food,Game
artificial intelligence,yes,yes,mu,ja,male,yes,07-12-1997,160,no,55.0,8,68.0,22:30,Sleep,Excercise
artificial intelligence,yes,no,unknown,ja,male,yes,07.07.01,160,no,0.0,5,6174.0,03:00,good food,sleeping
